id,item,type,dom_id,dimension,dim_id
a.1.1,Employment statuts,indicator,1,Sensitivity,1
a.1.2,Percentage of catch from fishing sold,indicator,1,Sensitivity,1
a.1.3,Percentage of income from the main activity,indicator,1,Sensitivity,1
a.1.4,Time conducting the activity,indicator,1,Sensitivity,1
a.2.1,Gender,indicator,2,Sensitivity,1
a.2.2,Years living in the village,indicator,2,Sensitivity,1
a.2.3,Percentage of children in the family members,indicator,2,Sensitivity,1
a.2.4,Percentage Family dependency,indicator,2,Sensitivity,1
a.3.1,Appreciation of biodiversity,indicator,3,Sensitivity,1
a.3.2,Identity and pride,indicator,3,Sensitivity,1
a.3.3,Appreciation of lifestyle,indicator,3,Sensitivity,1
a.4.1,Age,indicator,4,Sensitivity,1
a.4.2,Nutritional dependecy,indicator,4,Sensitivity,1
a.4.3,Sense of place,indicator,4,Sensitivity,1
b.1.1,Level of education,indicator,5,Adaptive Capacity,2
b.1.2,Knowledge of rules,indicator,5,Adaptive Capacity,2
b.1.3,Access to information,indicator,5,Adaptive Capacity,2
b.2.1,Material style of life,indicator,6,Adaptive Capacity,2
b.2.2,Community infrastructure,indicator,6,Adaptive Capacity,2
b.2.3,Access to credits,indicator,6,Adaptive Capacity,2
b.3.1,Livelihood multiplicity,indicator,7,Adaptive Capacity,2
b.3.2,Adapt to live without fishing,indicator,7,Adaptive Capacity,2
b.3.3,Gear,indicator,7,Adaptive Capacity,2
b.3.4,Spatial mobility,indicator,7,Adaptive Capacity,2
b.4.1,Perceived capacity,indicator,8,Adaptive Capacity,2
b.4.2,Recognition of causality,indicator,8,Adaptive Capacity,2
b.4.3,Level of participation,indicator,8,Adaptive Capacity,2
b.5.1,Trust in organizations,indicator,9,Adaptive Capacity,2
b.5.2,Community cohesion,indicator,9,Adaptive Capacity,2
b.5.3,Linking social capital,indicator,9,Adaptive Capacity,2
a.1,Livelihood - Economic dependency,domain,1,Sensitivity,1
a.2,Demographic ,domain,2,Sensitivity,1
a.3,Cultural,domain,3,Sensitivity,1
a.4,Health,domain,4,Sensitivity,1
b.1,Learning,domain,5,Adaptive Capacity,2
b.2,Assets,domain,6,Adaptive Capacity,2
b.3,Flexibility,domain,7,Adaptive Capacity,2
b.4,Agency,domain,8,Adaptive Capacity,2
b.5,Organization,domain,9,Adaptive Capacity,2
a,Sensitivity,dimension,10,Sensitivity,1
b,Adaptive Capacity,dimension,11,Adaptive Capacity,2
