id,item,type,dom_id,dimension,score,id_original,total_indicator,i_weighted,i_weight,total_domain,type_score,total_item,d_weighted
a.1.1,Employment statuts,indicator,1,Sensitivity,baseline,a.1.1,4.0,0.16362385321100917,33.0,4,indicator_baseline,4.0,1.3498967889908255
a.1.2,Percentage of catch from fishing sold,indicator,1,Sensitivity,baseline,a.1.2,4.0,0.31014825688073394,33.0,4,indicator_baseline,4.0,2.558723119266055
a.1.3,Percentage of income from the main activity,indicator,1,Sensitivity,baseline,a.1.3,4.0,0.31277202110091745,33.0,4,indicator_baseline,4.0,2.580369174082569
a.1.4,Time conducting the activity,indicator,1,Sensitivity,baseline,a.1.4,4.0,0.03708310825688073,33.0,4,indicator_baseline,4.0,0.305935643119266
a.2.1,Gender,indicator,2,Sensitivity,baseline,a.2.1,4.0,0.03772477064220184,22.9,4,indicator_baseline,4.0,0.21597431192660552
a.2.2,Years living in the village,indicator,2,Sensitivity,baseline,a.2.2,4.0,0.06491322018348623,22.9,4,indicator_baseline,4.0,0.3716281855504587
a.2.3,Percentage of children in the family members,indicator,2,Sensitivity,baseline,a.2.3,4.0,0.09749510917431195,22.9,4,indicator_baseline,4.0,0.5581595000229359
a.2.4,Percentage Family dependency,indicator,2,Sensitivity,baseline,a.2.4,4.0,0.13638048165137615,22.9,4,indicator_baseline,4.0,0.7807782574541284
a.3.1,Appreciation of biodiversity,indicator,3,Sensitivity,baseline,a.3.1,3.0,0.21472477064220183,17.8,4,indicator_baseline,3.0,1.2740336391437308
a.3.2,Identity and pride,indicator,3,Sensitivity,baseline,a.3.2,3.0,0.14779357798165138,17.8,4,indicator_baseline,3.0,0.8769085626911316
a.3.3,Appreciation of lifestyle,indicator,3,Sensitivity,baseline,a.3.3,3.0,0.2851192660550459,17.8,4,indicator_baseline,3.0,1.691707645259939
a.4.1,Age,indicator,4,Sensitivity,baseline,a.4.1,3.0,0.06516697247706421,26.3,4,indicator_baseline,3.0,0.571297125382263
a.4.2,Nutritional dependecy,indicator,4,Sensitivity,baseline,a.4.2,3.0,0.172485747706422,26.3,4,indicator_baseline,3.0,1.5121250548929661
a.4.3,Sense of place,indicator,4,Sensitivity,baseline,a.4.3,3.0,0.1445447247706422,26.3,4,indicator_baseline,3.0,1.2671754204892967
b.1.1,Level of education,indicator,5,Adaptive Capacity,baseline,b.1.1,3.0,0.05591972477064219,24.1,5,indicator_baseline,3.0,0.44922178899082565
b.1.2,Knowledge of rules,indicator,5,Adaptive Capacity,baseline,b.1.2,3.0,0.25688073394495414,24.1,5,indicator_baseline,3.0,2.063608562691132
b.1.3,Access to information,indicator,5,Adaptive Capacity,baseline,b.1.3,3.0,0.17570642201834866,24.1,5,indicator_baseline,3.0,1.4115082568807342
b.2.1,Material style of life,indicator,6,Adaptive Capacity,baseline,b.2.1,3.0,0.05995100825688073,19.5,5,indicator_baseline,3.0,0.38968155366972473
b.2.2,Community infrastructure,indicator,6,Adaptive Capacity,baseline,b.2.2,3.0,0.15908715596330275,19.5,5,indicator_baseline,3.0,1.034066513761468
b.2.3,Access to credits,indicator,6,Adaptive Capacity,baseline,b.2.3,3.0,0.011506912442396313,19.5,5,indicator_baseline,3.0,0.07479493087557604
b.3.1,Livelihood multiplicity,indicator,7,Adaptive Capacity,baseline,b.3.1,4.0,0.1398913596330275,22.8,5,indicator_baseline,4.0,0.7973807499082568
b.3.2,Adapt to live without fishing,indicator,7,Adaptive Capacity,baseline,b.3.2,4.0,0.09059288990825687,22.8,5,indicator_baseline,4.0,0.5163794724770642
b.3.3,Gear,indicator,7,Adaptive Capacity,baseline,b.3.3,4.0,0.03938073394495412,22.8,5,indicator_baseline,4.0,0.2244701834862385
b.3.4,Spatial mobility,indicator,7,Adaptive Capacity,baseline,b.3.4,4.0,0.07484288990825688,22.8,5,indicator_baseline,4.0,0.42660447247706423
b.4.1,Perceived capacity,indicator,8,Adaptive Capacity,baseline,b.4.1,3.0,0.19160091743119265,15.3,5,indicator_baseline,3.0,0.9771646788990825
b.4.2,Recognition of causality,indicator,8,Adaptive Capacity,baseline,b.4.2,3.0,0.16106422018348623,15.3,5,indicator_baseline,3.0,0.8214275229357798
b.4.3,Level of participation,indicator,8,Adaptive Capacity,baseline,b.4.3,3.0,0.13052143119266055,15.3,5,indicator_baseline,3.0,0.6656592990825688
