id_x,raw_mean,item,type,dom_id,dimension,score,id_original,type_score,id_y,i_weight
a.1.1,0.9403669724770642,Employment statuts,indicator,1,Sensitivity,baseline,a.1.1,indicator_baseline,a.1.1,17.4
a.1.2,0.9572477064220184,Percentage of catch from fishing sold,indicator,1,Sensitivity,baseline,a.1.2,indicator_baseline,a.1.2,32.4
a.1.3,0.925361009174312,Percentage of income from the main activity,indicator,1,Sensitivity,baseline,a.1.3,indicator_baseline,a.1.3,33.8
a.1.4,0.22611651376146788,Time conducting the activity,indicator,1,Sensitivity,baseline,a.1.4,indicator_baseline,a.1.4,16.4
a.1,0.7622730504587155,Livelihood - Economic dependency,domain,1,Sensitivity,baseline,a.1,domain_baseline,a.1,33.0
a.1.1_m,0.059633027522935755,Employment statuts_marginal,indicator,1,Sensitivity,marginal,a.1.1,indicator_marginal,a.1.1,17.4
a.1.2_m,0.042752293577981604,Percentage of catch from fishing sold_marginal,indicator,1,Sensitivity,marginal,a.1.2,indicator_marginal,a.1.2,32.4
a.1.3_m,0.07463899082568803,Percentage of income from the main activity_marginal,indicator,1,Sensitivity,marginal,a.1.3,indicator_marginal,a.1.3,33.8
a.1.4_m,0.7738834862385321,Time conducting the activity_marginal,indicator,1,Sensitivity,marginal,a.1.4,indicator_marginal,a.1.4,16.4
a.1_m,0.23772694954128448,Livelihood - Economic dependency_marginal,domain,1,Sensitivity,marginal,a.1,domain_marginal,a.1,33.0
a.2.1,0.14678899082568808,Gender,indicator,2,Sensitivity,baseline,a.2.1,indicator_baseline,a.2.1,25.7
a.2.2,0.29506009174311926,Years living in the village,indicator,2,Sensitivity,baseline,a.2.2,indicator_baseline,a.2.2,22.0
a.2.3,0.4184339449541285,Percentage of children in the family members,indicator,2,Sensitivity,baseline,a.2.3,indicator_baseline,a.2.3,23.3
a.2.4,0.4702775229357798,Percentage Family dependency,indicator,2,Sensitivity,baseline,a.2.4,indicator_baseline,a.2.4,29.0
a.2,0.3326401376146789,Demographic ,domain,2,Sensitivity,baseline,a.2,domain_baseline,a.2,22.9
a.2.1_m,0.8532110091743119,Gender_marginal,indicator,2,Sensitivity,marginal,a.2.1,indicator_marginal,a.2.1,25.7
a.2.2_m,0.7049399082568808,Years living in the village_marginal,indicator,2,Sensitivity,marginal,a.2.2,indicator_marginal,a.2.2,22.0
a.2.3_m,0.5815660550458714,Percentage of children in the family members_marginal,indicator,2,Sensitivity,marginal,a.2.3,indicator_marginal,a.2.3,23.3
a.2.4_m,0.5297224770642202,Percentage Family dependency_marginal,indicator,2,Sensitivity,marginal,a.2.4,indicator_marginal,a.2.4,29.0
