governance_type,ecological_site,Site,Region,District,Village,surveyNo,a.1.1,a.1.2,a.1.3,a.1.4,a.2.1,a.2.2,a.2.3,a.2.4,a.3.1,a.3.2,a.3.3,a.4.1,a.4.2,a.4.3,b.1.1,b.1.2,b.1.3,b.2.1,b.2.2,b.2.3,b.3.1,b.3.2,b.3.3,b.3.4,b.4.1,b.4.2,b.4.3,b.5.1,b.5.2,b.5.3,a.1,a.2,a.3,a.4,b.1,b.2,b.3,b.4,b.5,a,b
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D002,1,0.94,1.0,0.4118,0,0.25,0.6,0.6,0,1,1,0.4,0.3333,0.75,0.25,1,0.0,0.2638,0.5,0.0,0.3333,0.0,1.0,0.25,0.75,1,0.1667,0.3,0.0,0,0.83795,0.3625,0.6666666666666666,0.49443333333333334,0.4166666666666667,0.2546,0.395825,0.6389,0.09999999999999999,0.5903875,0.3611983333333334
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D003,1,0.96,1.0,0.4706,0,0.2794,0.6667,0.3333,0,1,0,0.46,0.4583,0.75,0.0,1,1.0,0.2344,0.5,0.0,0.3333,0.0,0.25,0.25,0.25,0,0.3333,0.75,1.0,1,0.85765,0.31984999999999997,0.3333333333333333,0.5560999999999999,0.6666666666666666,0.2448,0.20832499999999998,0.19443333333333332,0.9166666666666666,0.5167333333333333,0.4461783333333333
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D004,1,0.96,1.0,0.2353,0,0.4265,0.6,0.6,1,1,0,0.22,0.3333,0.75,0.25,1,0.0,0.1939,0.5,0.0,0.3333,0.0,0.5,0.25,0.75,0,0.3333,0.6,0.0,1,0.798825,0.406625,0.6666666666666666,0.4344333333333334,0.4166666666666667,0.23129999999999998,0.270825,0.3611,0.5333333333333333,0.5766374999999999,0.362645
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D005,1,0.97,1.0,0.1569,0,0.3676,0.7143,0.7143,0,1,1,0.14,0.3333,0.75,0.25,1,0.0,0.1738,0.5,0.0,0.3333,0.5,0.75,0.25,0.75,0,0.3333,0.75,0.0,1,0.7817249999999999,0.44905000000000006,0.6666666666666666,0.40776666666666667,0.4166666666666667,0.2246,0.458325,0.3611,0.5833333333333334,0.5763020833333333,0.408805
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D006,1,0.98,1.0,0.5294,0,0.6471,0.5,0.8,1,0,1,0.52,0.4583,0.75,0.0,1,0.0,0.3186,0.5,0.0,0.3333,1.0,0.0,0.25,0.75,0,0.5,0.75,0.0,1,0.87735,0.486775,0.6666666666666666,0.5761,0.3333333333333333,0.27286666666666665,0.395825,0.4166666666666667,0.5833333333333334,0.6517229166666666,0.400405
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D007,1,0.98,1.0,0.3137,1,0.4853,0.5,0.5,1,1,1,0.3,0.4583,0.75,0.25,1,0.0,0.3461,0.5,0.0,0.3333,0.5,0.5,0.25,0.75,0,0.3333,0.75,0.0,1,0.823425,0.621325,1.0,0.5027666666666667,0.4166666666666667,0.28203333333333336,0.395825,0.3611,0.5833333333333334,0.7368791666666666,0.40779166666666666
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D008,1,0.98,1.0,0.1176,0,0.0882,0.5,0.5,1,0,1,0.1,0.4583,0.75,0.25,1,0.0,0.1,0.5,0.0,0.3333,0.75,0.5,0.25,0.75,0,0.3333,0.75,0.0,0,0.7744,0.27205,0.6666666666666666,0.4361,0.4166666666666667,0.19999999999999998,0.458325,0.3611,0.25,0.5373041666666667,0.3372183333333333
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D009,1,0.94,1.0,0.1176,0,0.3382,0.3333,0.6667,1,1,0,0.1,0.3333,0.75,0.25,1,0.0,0.0521,0.5,0.0,0.0,0.0,0.5,0.25,0.25,0,0.3333,0.3,0.0,1,0.7644,0.33455,0.6666666666666666,0.39443333333333336,0.4166666666666667,0.18403333333333335,0.1875,0.19443333333333332,0.43333333333333335,0.5400124999999999,0.28319333333333335
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D010,1,0.98,1.0,0.1765,0,0.1324,0.3333,0.6667,1,1,1,0.22,0.3333,0.75,0.0,1,0.0,0.0741,0.5,0.0,0.0,0.0,0.25,0.25,0.75,0,0.3333,0.75,0.0,1,0.789125,0.2831,1.0,0.4344333333333334,0.3333333333333333,0.19136666666666668,0.125,0.3611,0.5833333333333334,0.6266645833333333,0.31882666666666665
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D011,1,0.98,1.0,0.1765,0,0.1324,0.0,0.0,1,1,1,0.02,0.3333,0.75,0.25,1,1.0,0.1275,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0,0.3333,0.3,1.0,1,0.789125,0.0331,1.0,0.36776666666666663,0.75,0.2925,0.0625,0.11109999999999999,0.7666666666666666,0.5474979166666667,0.3965533333333333
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D012,1,0.97,1.0,0.1569,0,0.1176,0.0,0.0,1,1,1,0.02,0.3333,0.75,0.5,1,1.0,0.2284,0.75,0.0,0.0,0.0,0.75,0.25,0.75,0,0.3333,0.75,0.0,1,0.7817249999999999,0.0294,1.0,0.36776666666666663,0.8333333333333334,0.32613333333333333,0.25,0.3611,0.5833333333333334,0.5447229166666666,0.47078
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D013,1,0.98,1.0,0.0588,0,0.0441,0.0,0.5,1,1,1,0.36,0.3333,0.75,0.0,1,0.8,0.0221,0.75,0.0,0.0,0.0,0.0,0.25,0.25,0,0.3333,0.75,0.0,1,0.7597,0.136025,1.0,0.4811,0.6,0.2573666666666667,0.0625,0.19443333333333332,0.5833333333333334,0.59420625,0.33952666666666664
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D014,1,0.86,1.0,0.0392,0,0.0294,0.5,0.5,1,1,1,0.1,0.4583,0.75,0.25,1,0.4,0.0796,0.75,0.0,0.0,0.0,0.25,0.25,0.75,0,0.3333,0.45,0.0,1,0.7248,0.25734999999999997,1.0,0.4361,0.5499999999999999,0.27653333333333335,0.125,0.3611,0.48333333333333334,0.6045625,0.35919333333333336
