governance_type,ecological_site,Site,Region,District,Village,surveyNo,a.1.1,a.1.2,a.1.3,a.1.4,a.2.1,a.2.2,a.2.3,a.2.4,a.3.1,a.3.2,a.3.3,a.4.1,a.4.2,a.4.3,b.1.1,b.1.2,b.1.3,b.2.1,b.2.2,b.2.3,b.3.1,b.3.2,b.3.3,b.3.4,b.4.1,b.4.2,b.4.3,b.5.1,b.5.2,b.5.3,a.1.1_w,a.1.2_w,a.1.3_w,a.1.4_w,a.2.1_w,a.2.2_w,a.2.3_w,a.2.4_w,a.3.1_w,a.3.2_w,a.3.3_w,a.4.1_w,a.4.2_w,a.4.3_w,b.1.1_w,b.1.2_w,b.1.3_w,b.2.1_w,b.2.2_w,b.2.3_w,b.3.1_w,b.3.2_w,b.3.3_w,b.3.4_w,b.4.1_w,b.4.2_w,b.4.3_w,b.5.1_w,b.5.2_w,b.5.3_w,a.1.1_weighted,a.1.2_weighted,a.1.3_weighted,a.1.4_weighted,a.2.1_weighted,a.2.2_weighted,a.2.3_weighted,a.2.4_weighted,a.3.1_weighted,a.3.2_weighted,a.3.3_weighted,a.4.1_weighted,a.4.2_weighted,a.4.3_weighted,b.1.1_weighted,b.1.2_weighted,b.1.3_weighted,b.2.1_weighted,b.2.2_weighted,b.2.3_weighted,b.3.1_weighted,b.3.2_weighted,b.3.3_weighted,b.3.4_weighted,b.4.1_weighted,b.4.2_weighted,b.4.3_weighted,b.5.1_weighted,b.5.2_weighted,b.5.3_weighted,a.1_sum,a.2_sum,a.3_sum,a.4_sum,b.1_sum,b.2_sum,b.3_sum,b.4_sum,b.5_sum,a.1_w,a.2_w,a.3_w,a.4_w,b.1_w,b.2_w,b.3_w,b.4_w,b.5_w,a.1_weighted,a.2_weighted,a.3_weighted,a.4_weighted,b.1_weighted,b.2_weighted,b.3_weighted,b.4_weighted,b.5_weighted,a_sum,b_sum
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D002,1,0.94,1.0,0.4118,0,0.25,0.6,0.6,0,1,1,0.4,0.3333,0.75,0.25,1,0.0,0.2638,0.5,0.0,0.3333,0.0,1.0,0.25,0.75,1,0.1667,0.3,0.0,0,0.174,0.324,0.338,0.164,0.257,0.22,0.233,0.29,0.302,0.319,0.379,0.208,0.551,0.241,0.378,0.28,0.342,0.334,0.439,0.227,0.414,0.197,0.202,0.187,0.364,0.308,0.328,0.339,0.341,0.32,0.174,0.30456,0.338,0.0675352,0.0,0.055,0.1398,0.174,0.0,0.319,0.379,0.0832,0.18364830000000001,0.18075,0.0945,0.28,0.0,0.0881092,0.2195,0.0,0.13798619999999998,0.0,0.202,0.04675,0.273,0.308,0.0546776,0.1017,0.0,0.0,0.8840952,0.3688,0.698,0.4475983,0.37450000000000006,0.3076092,0.38673620000000003,0.6356776,0.1017,0.33,0.229,0.178,0.263,0.241,0.195,0.228,0.153,0.183,0.291751416,0.08445520000000001,0.12424399999999998,0.1177183529,0.09025450000000002,0.05998379400000001,0.0881758536,0.09725867279999999,0.0186111,0.6181689689,0.3542839204
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D003,1,0.96,1.0,0.4706,0,0.2794,0.6667,0.3333,0,1,0,0.46,0.4583,0.75,0.0,1,1.0,0.2344,0.5,0.0,0.3333,0.0,0.25,0.25,0.25,0,0.3333,0.75,1.0,1,0.174,0.324,0.338,0.164,0.257,0.22,0.233,0.29,0.302,0.319,0.379,0.208,0.551,0.241,0.378,0.28,0.342,0.334,0.439,0.227,0.414,0.197,0.202,0.187,0.364,0.308,0.328,0.339,0.341,0.32,0.174,0.31104,0.338,0.07717840000000001,0.0,0.061467999999999995,0.1553411,0.09665699999999999,0.0,0.319,0.0,0.09568,0.2525233,0.18075,0.0,0.28,0.342,0.0782896,0.2195,0.0,0.13798619999999998,0.0,0.0505,0.04675,0.091,0.0,0.1093224,0.25425000000000003,0.341,0.32,0.9002184,0.31346609999999997,0.319,0.5289533,0.6220000000000001,0.2977896,0.2352362,0.2003224,0.9152500000000001,0.33,0.229,0.178,0.263,0.241,0.195,0.228,0.153,0.183,0.297072072,0.07178373689999999,0.056782,0.1391147179,0.149902,0.058068971999999996,0.0536338536,0.0306493272,0.16749075000000002,0.5647525268,0.4597449028
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D004,1,0.96,1.0,0.2353,0,0.4265,0.6,0.6,1,1,0,0.22,0.3333,0.75,0.25,1,0.0,0.1939,0.5,0.0,0.3333,0.0,0.5,0.25,0.75,0,0.3333,0.6,0.0,1,0.174,0.324,0.338,0.164,0.257,0.22,0.233,0.29,0.302,0.319,0.379,0.208,0.551,0.241,0.378,0.28,0.342,0.334,0.439,0.227,0.414,0.197,0.202,0.187,0.364,0.308,0.328,0.339,0.341,0.32,0.174,0.31104,0.338,0.038589200000000004,0.0,0.09383,0.1398,0.174,0.302,0.319,0.0,0.045759999999999995,0.18364830000000001,0.18075,0.0945,0.28,0.0,0.0647626,0.2195,0.0,0.13798619999999998,0.0,0.101,0.04675,0.273,0.0,0.1093224,0.2034,0.0,0.32,0.8616292,0.40763,0.621,0.4101583,0.37450000000000006,0.28426260000000003,0.2857362,0.3823224,0.5234,0.33,0.229,0.178,0.263,0.241,0.195,0.228,0.153,0.183,0.284337636,0.09334727,0.110538,0.1078716329,0.09025450000000002,0.05543120700000001,0.0651478536,0.0584953272,0.0957822,0.5960945389,0.3651110878
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D005,1,0.97,1.0,0.1569,0,0.3676,0.7143,0.7143,0,1,1,0.14,0.3333,0.75,0.25,1,0.0,0.1738,0.5,0.0,0.3333,0.5,0.75,0.25,0.75,0,0.3333,0.75,0.0,1,0.174,0.324,0.338,0.164,0.257,0.22,0.233,0.29,0.302,0.319,0.379,0.208,0.551,0.241,0.378,0.28,0.342,0.334,0.439,0.227,0.414,0.197,0.202,0.187,0.364,0.308,0.328,0.339,0.341,0.32,0.174,0.31428,0.338,0.025731600000000004,0.0,0.080872,0.16643190000000002,0.207147,0.0,0.319,0.379,0.02912,0.18364830000000001,0.18075,0.0945,0.28,0.0,0.05804920000000001,0.2195,0.0,0.13798619999999998,0.0985,0.15150000000000002,0.04675,0.273,0.0,0.1093224,0.25425000000000003,0.0,0.32,0.8520116,0.4544509,0.698,0.3935183,0.37450000000000006,0.2775492,0.4347362,0.3823224,0.57425,0.33,0.229,0.178,0.263,0.241,0.195,0.228,0.153,0.183,0.281163828,0.10406925610000001,0.12424399999999998,0.1034953129,0.09025450000000002,0.054122094,0.0991198536,0.0584953272,0.10508775000000001,0.6129723970000001,0.4070795248000001
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D006,1,0.98,1.0,0.5294,0,0.6471,0.5,0.8,1,0,1,0.52,0.4583,0.75,0.0,1,0.0,0.3186,0.5,0.0,0.3333,1.0,0.0,0.25,0.75,0,0.5,0.75,0.0,1,0.174,0.324,0.338,0.164,0.257,0.22,0.233,0.29,0.302,0.319,0.379,0.208,0.551,0.241,0.378,0.28,0.342,0.334,0.439,0.227,0.414,0.197,0.202,0.187,0.364,0.308,0.328,0.339,0.341,0.32,0.174,0.31752,0.338,0.0868216,0.0,0.14236200000000002,0.1165,0.23199999999999998,0.302,0.0,0.379,0.10815999999999999,0.2525233,0.18075,0.0,0.28,0.0,0.1064124,0.2195,0.0,0.13798619999999998,0.197,0.0,0.04675,0.273,0.0,0.164,0.25425000000000003,0.0,0.32,0.9163416,0.490862,0.681,0.5414333,0.28,0.3259124,0.3817362,0.43700000000000006,0.57425,0.33,0.229,0.178,0.263,0.241,0.195,0.228,0.153,0.183,0.302392728,0.112407398,0.121218,0.1423969579,0.06748,0.063552918,0.0870358536,0.066861,0.10508775000000001,0.6784150839,0.39001752160000003
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D007,1,0.98,1.0,0.3137,1,0.4853,0.5,0.5,1,1,1,0.3,0.4583,0.75,0.25,1,0.0,0.3461,0.5,0.0,0.3333,0.5,0.5,0.25,0.75,0,0.3333,0.75,0.0,1,0.174,0.324,0.338,0.164,0.257,0.22,0.233,0.29,0.302,0.319,0.379,0.208,0.551,0.241,0.378,0.28,0.342,0.334,0.439,0.227,0.414,0.197,0.202,0.187,0.364,0.308,0.328,0.339,0.341,0.32,0.174,0.31752,0.338,0.0514468,0.257,0.106766,0.1165,0.145,0.302,0.319,0.379,0.0624,0.2525233,0.18075,0.0945,0.28,0.0,0.11559740000000002,0.2195,0.0,0.13798619999999998,0.0985,0.101,0.04675,0.273,0.0,0.1093224,0.25425000000000003,0.0,0.32,0.8809668,0.625266,1.0,0.4956733,0.37450000000000006,0.3350974,0.38423619999999997,0.3823224,0.57425,0.33,0.229,0.178,0.263,0.241,0.195,0.228,0.153,0.183,0.29071904400000004,0.143185914,0.178,0.1303620779,0.09025450000000002,0.065343993,0.08760585359999999,0.0584953272,0.10508775000000001,0.7422670359,0.4067874238
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D008,1,0.98,1.0,0.1176,0,0.0882,0.5,0.5,1,0,1,0.1,0.4583,0.75,0.25,1,0.0,0.1,0.5,0.0,0.3333,0.75,0.5,0.25,0.75,0,0.3333,0.75,0.0,0,0.174,0.324,0.338,0.164,0.257,0.22,0.233,0.29,0.302,0.319,0.379,0.208,0.551,0.241,0.378,0.28,0.342,0.334,0.439,0.227,0.414,0.197,0.202,0.187,0.364,0.308,0.328,0.339,0.341,0.32,0.174,0.31752,0.338,0.0192864,0.0,0.019404,0.1165,0.145,0.302,0.0,0.379,0.0208,0.2525233,0.18075,0.0945,0.28,0.0,0.033400000000000006,0.2195,0.0,0.13798619999999998,0.14775,0.101,0.04675,0.273,0.0,0.1093224,0.25425000000000003,0.0,0.0,0.8488064000000001,0.280904,0.681,0.4540733,0.37450000000000006,0.2529,0.4334862,0.3823224,0.25425000000000003,0.33,0.229,0.178,0.263,0.241,0.195,0.228,0.153,0.183,0.280106112,0.064327016,0.121218,0.11942127790000001,0.09025450000000002,0.049315500000000005,0.0988348536,0.0584953272,0.04652775000000001,0.5850724059000001,0.3434279308
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D009,1,0.94,1.0,0.1176,0,0.3382,0.3333,0.6667,1,1,0,0.1,0.3333,0.75,0.25,1,0.0,0.0521,0.5,0.0,0.0,0.0,0.5,0.25,0.25,0,0.3333,0.3,0.0,1,0.174,0.324,0.338,0.164,0.257,0.22,0.233,0.29,0.302,0.319,0.379,0.208,0.551,0.241,0.378,0.28,0.342,0.334,0.439,0.227,0.414,0.197,0.202,0.187,0.364,0.308,0.328,0.339,0.341,0.32,0.174,0.30456,0.338,0.0192864,0.0,0.074404,0.0776589,0.193343,0.302,0.319,0.0,0.0208,0.18364830000000001,0.18075,0.0945,0.28,0.0,0.0174014,0.2195,0.0,0.0,0.0,0.101,0.04675,0.091,0.0,0.1093224,0.1017,0.0,0.32,0.8358464,0.3454059,0.621,0.3851983,0.37450000000000006,0.2369014,0.14775,0.2003224,0.4217,0.33,0.229,0.178,0.263,0.241,0.195,0.228,0.153,0.183,0.275829312,0.0790979511,0.110538,0.1013071529,0.09025450000000002,0.046195773,0.033687,0.0306493272,0.0771711,0.5667724160000001,0.2779577002
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D010,1,0.98,1.0,0.1765,0,0.1324,0.3333,0.6667,1,1,1,0.22,0.3333,0.75,0.0,1,0.0,0.0741,0.5,0.0,0.0,0.0,0.25,0.25,0.75,0,0.3333,0.75,0.0,1,0.174,0.324,0.338,0.164,0.257,0.22,0.233,0.29,0.302,0.319,0.379,0.208,0.551,0.241,0.378,0.28,0.342,0.334,0.439,0.227,0.414,0.197,0.202,0.187,0.364,0.308,0.328,0.339,0.341,0.32,0.174,0.31752,0.338,0.028946,0.0,0.029127999999999998,0.0776589,0.193343,0.302,0.319,0.379,0.045759999999999995,0.18364830000000001,0.18075,0.0,0.28,0.0,0.0247494,0.2195,0.0,0.0,0.0,0.0505,0.04675,0.273,0.0,0.1093224,0.25425000000000003,0.0,0.32,0.8584660000000001,0.3001299,1.0,0.4101583,0.28,0.2442494,0.09725,0.3823224,0.57425,0.33,0.229,0.178,0.263,0.241,0.195,0.228,0.153,0.183,0.28329378000000005,0.0687297471,0.178,0.1078716329,0.06748,0.047628633000000004,0.022173000000000002,0.0584953272,0.10508775000000001,0.63789516,0.30086471020000005
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D011,1,0.98,1.0,0.1765,0,0.1324,0.0,0.0,1,1,1,0.02,0.3333,0.75,0.25,1,1.0,0.1275,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0,0.3333,0.3,1.0,1,0.174,0.324,0.338,0.164,0.257,0.22,0.233,0.29,0.302,0.319,0.379,0.208,0.551,0.241,0.378,0.28,0.342,0.334,0.439,0.227,0.414,0.197,0.202,0.187,0.364,0.308,0.328,0.339,0.341,0.32,0.174,0.31752,0.338,0.028946,0.0,0.029127999999999998,0.0,0.0,0.302,0.319,0.379,0.00416,0.18364830000000001,0.18075,0.0945,0.28,0.342,0.042585000000000005,0.32925,0.0,0.0,0.0,0.0,0.04675,0.0,0.0,0.1093224,0.1017,0.341,0.32,0.8584660000000001,0.029127999999999998,1.0,0.3685583,0.7165000000000001,0.37183499999999997,0.04675,0.1093224,0.7627,0.33,0.229,0.178,0.263,0.241,0.195,0.228,0.153,0.183,0.28329378000000005,0.006670311999999999,0.178,0.0969308329,0.17267650000000004,0.072507825,0.010659,0.0167263272,0.1395741,0.5648949249,0.4121437522
