governance_type,ecological_site,Site,Region,District,Village,surveyNo,a_1_1_Employment_status,a_1_1_weight,a_1_1_weighted,a_1_2_Percentage_of_catch_from_fishing_sold,a_1_2_weight,a_1_2_weighted,a_1_3_Percentage_of_income_from_the_main_activity,a_1_3_weight,a_1_3_weighted,a_1_4_Time_conducting_the_activity,a_1_4_weight,a_1_4_weighted,a_1_Livelihood_sum,a_1_Livelihood_weight,a_1_Livelihood_weighted,a_2_1_Gender,a_2_1_weight,a_2_1_weighted,a_2_2_Years_living_in_the_village,a_2_2_weight,a_2_2_weighted,a_2_3_Percentage_of_children_in_the_family_members,a_2_3_weight,a_2_3_weighted,a_2_4_Family_dependency,a_2_4_weight,a_2_4_weighted,a_2_Demographic_sum,a_2_Demographic_weight,a_2_Demographic_weighted,a_3_1_Appreciation_of_biodiversity,a_3_1_weight,a_3_1_weighted,a_3_2_Identity_and_pride,a_3_2_weight,a_3_2_weighted,a_3_3_Appreciation_of_lifestyle,a_3_3_weight,a_3_3_weighted,a_3_Cultural_sum,a_3_Cultural_weight,a_3_Cultural_weighted,a_4_1_Age,a_4_1_weight,a_4_1_weighted,a_4_2_Food_security_and_wellbeing,a_4_2_weight,a_4_2_weighted,a_4_3_Sense_of_place,a_4_3_weight,a_4_3_weighted,a_4_health_sum,a_4_health_weight,a_4_health_weighted,a_SENSITIVITY,b_1_1_Level_of_education,b_1_1_weight,b_1_1_weighted,b_1_2_Knowledge_of_rules,b_1_2_weight,b_1_2_weighted,b_1_3_Access_to_information,b_1_3_weight,b_1_3_weighted,b_1_learning_sum,b_1_learning_weight,b_1_learning_weighted,b_2_1_Material_style_of_life,b_2_1_weight,b_2_1_weighted,b_2_2_Community_infrastructures,b_2_2_weight,b_2_2_weighted,b_2_3_Access_to_credit,b_2_3_weight,b_2_3_weighted,b_2_Assets_sum,b_2_Assets_weight,b_2_Assets_weighted,b_3_1_Livelihood_multiplicity,b_3_1_weight,b_3_1_weighted,b_3_2_Adapt_to_live_without_fishing,b_3_2_weight,b_3_2_weighted,b_3_3_Gear,b_3_3_weight,b_3_3_weighted,b_3_4_Spatial_mobility,b_3_4_weight,b_3_4_weighted,b_3_Flexibility_sum,b_3_Flexibility_weight,b_3_Flexibility_weighted,b_4_1_Perceived_capacity_to_change,b_4_1_weight,b_4_1_weighted,b_4_2_Recognition_of_causality,b_4_2_weight,b_4_2_weighted,b_4_3_Level_of_participation,b_4_3_weight,b_4_3_weighted,b_4_agency_Sum,b_4_agency_weight,b_4_agency_weighted,b_5_1_Trust_in_organization,b_5_1_weight,b_5_1_weighted,b_5_2_Community_cohesion,b_5_2_weight,b_5_2_weighted,b_5_3_Linking_Social_capital,b_5_3_weight,b_5_3_weighted,b_5_organization_sum,b_5_Organization_weight,b_5_Organization_weighted,b_ADAPTIVE_CAPACITY,c_vulnerability_EQUAL_adaptive_capacity_MINUS_sensitivity,quadrant
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D002,1,0.174,0.2474,0.94,0.324,0.2447,1,0.338,0.3001,0.4118,0.164,0.0792,0.8713,0.33,0.281,0,0.257,0,0.25,0.22,0.0513,0.6,0.233,0.1362,0.6,0.29,0.2071,0.3947,0.229,0.0926,0,0.302,0,1,0.319,0.315,1,0.379,0.3715,0.6864,0.178,0.1189,0.4,0.208,0.0915,0.3333,0.551,0.165,0.75,0.241,0.2072,0.4637,0.263,0.125,0.6175,0.25,0.378,0.0946,1,0.28,0.2796,0,0.342,0,0.3742,0.241,0.094,0.2638,0.334,0.0872,0.5,0.429619722,0.2148,0,0.23970222,0,0.3021,0.201948503,0.061,0.3333,0.38069361,0.1269,0,0.214992669,0,1,0.20862622,0.2086,0.25,0.195687501,0.0489,0.3844,0.213724639,0.0822,0.75,0.363267572,0.2725,1,0.309709252,0.3097,0.1667,0.327023177,0.0545,0.6367,0.151246925,0.0963,0.3,0.325747012,0.0977,0,0.342611092,0,0,0.331641896,0,0.0977,0.181907181,0.0178,0.3512,-0.2663219,q2
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D003,1,0.174,0.2474,0.96,0.324,0.2499,1,0.338,0.3001,0.4706,0.164,0.0905,0.8878,0.33,0.2863,0,0.257,0,0.2794,0.22,0.0574,0.6667,0.233,0.1514,0.3333,0.29,0.1151,0.3238,0.229,0.076,0,0.302,0,1,0.319,0.315,0,0.379,0,0.315,0.178,0.0545,0.46,0.208,0.1053,0.4583,0.551,0.2268,0.75,0.241,0.2072,0.5393,0.263,0.1454,0.5623,0,0.378,0,1,0.28,0.2796,1,0.342,0.342,0.6216,0.241,0.1561,0.2344,0.334,0.0775,0.5,0.429619722,0.2148,0,0.23970222,0,0.2923,0.201948503,0.059,0.3333,0.38069361,0.1269,0,0.214992669,0,0.25,0.20862622,0.0522,0.25,0.195687501,0.0489,0.228,0.213724639,0.0487,0.25,0.363267572,0.0908,0,0.309709252,0,0.3333,0.327023177,0.109,0.1998,0.151246925,0.0302,0.75,0.325747012,0.2443,1,0.342611092,0.3426,1,0.331641896,0.3316,0.9186,0.181907181,0.1671,0.4612,-0.1010858,q1
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D004,1,0.174,0.2474,0.96,0.324,0.2499,1,0.338,0.3001,0.2353,0.164,0.0452,0.8426,0.33,0.2717,0,0.257,0,0.4265,0.22,0.0875,0.6,0.233,0.1362,0.6,0.29,0.2071,0.4309,0.229,0.1011,1,0.302,0.3136,1,0.319,0.315,0,0.379,0,0.6285,0.178,0.1088,0.22,0.208,0.0504,0.3333,0.551,0.165,0.75,0.241,0.2072,0.4225,0.263,0.1139,0.5956,0.25,0.378,0.0946,1,0.28,0.2796,0,0.342,0,0.3742,0.241,0.094,0.1939,0.334,0.0641,0.5,0.429619722,0.2148,0,0.23970222,0,0.2789,0.201948503,0.0563,0.3333,0.38069361,0.1269,0,0.214992669,0,0.5,0.20862622,0.1043,0.25,0.195687501,0.0489,0.2801,0.213724639,0.0599,0.75,0.363267572,0.2725,0,0.309709252,0,0.3333,0.327023177,0.109,0.3815,0.151246925,0.0577,0.6,0.325747012,0.1954,0,0.342611092,0,1,0.331641896,0.3316,0.5271,0.181907181,0.0959,0.3638,-0.2318842,q2
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D005,1,0.174,0.2474,0.97,0.324,0.2525,1,0.338,0.3001,0.1569,0.164,0.0302,0.8301,0.33,0.2677,0,0.257,0,0.3676,0.22,0.0755,0.7143,0.233,0.1622,0.7143,0.29,0.2466,0.4843,0.229,0.1136,0,0.302,0,1,0.319,0.315,1,0.379,0.3715,0.6864,0.178,0.1189,0.14,0.208,0.032,0.3333,0.551,0.165,0.75,0.241,0.2072,0.4042,0.263,0.109,0.6092,0.25,0.378,0.0946,1,0.28,0.2796,0,0.342,0,0.3742,0.241,0.094,0.1738,0.334,0.0575,0.5,0.429619722,0.2148,0,0.23970222,0,0.2723,0.201948503,0.055,0.3333,0.38069361,0.1269,0.5,0.214992669,0.1075,0.75,0.20862622,0.1565,0.25,0.195687501,0.0489,0.4398,0.213724639,0.094,0.75,0.363267572,0.2725,0,0.309709252,0,0.3333,0.327023177,0.109,0.3815,0.151246925,0.0577,0.75,0.325747012,0.2443,0,0.342611092,0,1,0.331641896,0.3316,0.576,0.181907181,0.1048,0.4054,-0.2037982,q2
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D006,1,0.174,0.2474,0.98,0.324,0.2551,1,0.338,0.3001,0.5294,0.164,0.1018,0.9043,0.33,0.2917,0,0.257,0,0.6471,0.22,0.1328,0.5,0.233,0.1135,0.8,0.29,0.2762,0.5226,0.229,0.1226,1,0.302,0.3136,0,0.319,0,1,0.379,0.3715,0.685,0.178,0.1186,0.52,0.208,0.119,0.4583,0.551,0.2268,0.75,0.241,0.2072,0.553,0.263,0.1491,0.682,0,0.378,0,1,0.28,0.2796,0,0.342,0,0.2796,0.241,0.0702,0.3186,0.334,0.1054,0.5,0.429619722,0.2148,0,0.23970222,0,0.3202,0.201948503,0.0647,0.3333,0.38069361,0.1269,1,0.214992669,0.215,0,0.20862622,0,0.25,0.195687501,0.0489,0.3908,0.213724639,0.0835,0.75,0.363267572,0.2725,0,0.309709252,0,0.5,0.327023177,0.1635,0.436,0.151246925,0.0659,0.75,0.325747012,0.2443,0,0.342611092,0,1,0.331641896,0.3316,0.576,0.181907181,0.1048,0.3891,-0.2929243,q2
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D007,1,0.174,0.2474,0.98,0.324,0.2551,1,0.338,0.3001,0.3137,0.164,0.0603,0.8629,0.33,0.2783,1,0.257,0.22240481,0.4853,0.22,0.0996,0.5,0.233,0.1135,0.5,0.29,0.1726,0.3858,0.229,0.0905,1,0.302,0.3136,1,0.319,0.315,1,0.379,0.3715,1,0.178,0.1732,0.3,0.208,0.0687,0.4583,0.551,0.2268,0.75,0.241,0.2072,0.5027,0.263,0.1356,0.6775,0.25,0.378,0.0946,1,0.28,0.2796,0,0.342,0,0.3742,0.241,0.094,0.3461,0.334,0.1144,0.5,0.429619722,0.2148,0,0.23970222,0,0.3292,0.201948503,0.0665,0.3333,0.38069361,0.1269,0.5,0.214992669,0.1075,0.5,0.20862622,0.1043,0.25,0.195687501,0.0489,0.3876,0.213724639,0.0828,0.75,0.363267572,0.2725,0,0.309709252,0,0.3333,0.327023177,0.109,0.3815,0.151246925,0.0577,0.75,0.325747012,0.2443,0,0.342611092,0,1,0.331641896,0.3316,0.576,0.181907181,0.1048,0.4058,-0.2717508,q2
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D008,1,0.174,0.2474,0.98,0.324,0.2551,1,0.338,0.3001,0.1176,0.164,0.0226,0.8252,0.33,0.2661,0,0.257,0,0.0882,0.22,0.0181,0.5,0.233,0.1135,0.5,0.29,0.1726,0.3043,0.229,0.0714,1,0.302,0.3136,0,0.319,0,1,0.379,0.3715,0.685,0.178,0.1186,0.1,0.208,0.0229,0.4583,0.551,0.2268,0.75,0.241,0.2072,0.4569,0.263,0.1232,0.5794,0.25,0.378,0.0946,1,0.28,0.2796,0,0.342,0,0.3742,0.241,0.094,0.1,0.334,0.0331,0.5,0.429619722,0.2148,0,0.23970222,0,0.2479,0.201948503,0.0501,0.3333,0.38069361,0.1269,0.75,0.214992669,0.1612,0.5,0.20862622,0.1043,0.25,0.195687501,0.0489,0.4414,0.213724639,0.0943,0.75,0.363267572,0.2725,0,0.309709252,0,0.3333,0.327023177,0.109,0.3815,0.151246925,0.0577,0.75,0.325747012,0.2443,0,0.342611092,0,0,0.331641896,0,0.2443,0.181907181,0.0444,0.3405,-0.2388587,q2
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D009,1,0.174,0.2474,0.94,0.324,0.2447,1,0.338,0.3001,0.1176,0.164,0.0226,0.8148,0.33,0.2628,0,0.257,0,0.3382,0.22,0.0694,0.3333,0.233,0.0757,0.6667,0.29,0.2302,0.3753,0.229,0.0881,1,0.302,0.3136,1,0.319,0.315,0,0.379,0,0.6285,0.178,0.1088,0.1,0.208,0.0229,0.3333,0.551,0.165,0.75,0.241,0.2072,0.395,0.263,0.1065,0.5662,0.25,0.378,0.0946,1,0.28,0.2796,0,0.342,0,0.3742,0.241,0.094,0.0521,0.334,0.0172,0.5,0.429619722,0.2148,0,0.23970222,0,0.232,0.201948503,0.0469,0,0.38069361,0,0,0.214992669,0,0.5,0.20862622,0.1043,0.25,0.195687501,0.0489,0.1532,0.213724639,0.0328,0.25,0.363267572,0.0908,0,0.309709252,0,0.3333,0.327023177,0.109,0.1998,0.151246925,0.0302,0.3,0.325747012,0.0977,0,0.342611092,0,1,0.331641896,0.3316,0.4294,0.181907181,0.0781,0.2819,-0.2842832,q2
Implementation of LMMAs in progress,Mangrove,Mahajamba,Boeny,Majunga_II,Andranoboka,D010,1,0.174,0.2474,0.98,0.324,0.2551,1,0.338,0.3001,0.1765,0.164,0.0339,0.8365,0.33,0.2698,0,0.257,0,0.1324,0.22,0.0272,0.3333,0.233,0.0757,0.6667,0.29,0.2302,0.333,0.229,0.0781,1,0.302,0.3136,1,0.319,0.315,1,0.379,0.3715,1,0.178,0.1732,0.22,0.208,0.0504,0.3333,0.551,0.165,0.75,0.241,0.2072,0.4225,0.263,0.1139,0.635,0,0.378,0,1,0.28,0.2796,0,0.342,0,0.2796,0.241,0.0702,0.0741,0.334,0.0245,0.5,0.429619722,0.2148,0,0.23970222,0,0.2393,0.201948503,0.0483,0,0.38069361,0,0,0.214992669,0,0.25,0.20862622,0.0522,0.25,0.195687501,0.0489,0.1011,0.213724639,0.0216,0.75,0.363267572,0.2725,0,0.309709252,0,0.3333,0.327023177,0.109,0.3815,0.151246925,0.0577,0.75,0.325747012,0.2443,0,0.342611092,0,1,0.331641896,0.3316,0.576,0.181907181,0.1048,0.3026,-0.332407,q2
Implementation of LMMAs in progress,Mangrove,Mahajamba,Sofia,Majunga_II,Besakoa,D011,1,0.174,0.2474,0.98,0.324,0.2551,1,0.338,0.3001,0.1765,0.164,0.0339,0.8365,0.33,0.2698,0,0.257,0,0.1324,0.22,0.0272,0,0.233,0,0,0.29,0,0.0272,0.229,0.0064,1,0.302,0.3136,1,0.319,0.315,1,0.379,0.3715,1,0.178,0.1732,0.02,0.208,0.0046,0.3333,0.551,0.165,0.75,0.241,0.2072,0.3767,0.263,0.1016,0.5509,0.25,0.378,0.0946,1,0.28,0.2796,1,0.342,0.342,0.7162,0.241,0.1799,0.1275,0.334,0.0422,0.75,0.429619722,0.3222,0,0.23970222,0,0.3644,0.201948503,0.0736,0,0.38069361,0,0,0.214992669,0,0,0.20862622,0,0.25,0.195687501,0.0489,0.0489,0.213724639,0.0105,0,0.363267572,0,0,0.309709252,0,0.3333,0.327023177,0.109,0.109,0.151246925,0.0165,0.3,0.325747012,0.0977,1,0.342611092,0.3426,1,0.331641896,0.3316,0.772,0.181907181,0.1404,0.4208,-0.1300693,q3
